"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"576278","5202","2025-01-30 20:18:17","3","30","0","0","2025-01-30 21:13:13"
"576277","4482","2025-01-30 20:01:08","3","30","0","0","2025-01-30 21:13:09"
"576276","4576","2025-01-30 19:58:30","3","30","0","0","2025-01-30 21:13:08"
"576275","4575","2025-01-30 19:58:26","3","30","0","0","2025-01-30 21:13:07"
"576274","4540","2025-01-30 19:58:22","3","30","0","0","2025-01-30 21:13:06"
"576273","5212","2025-01-30 19:57:06","3","30","0","0","2025-01-30 21:13:05"
"576272","4857","2025-01-30 19:55:14","3","30","0","0","2025-01-30 21:13:05"
"576271","4704","2025-01-30 19:55:09","3","30","0","0","2025-01-30 21:13:04"
"576270","5049","2025-01-30 19:54:58","3","30","0","0","2025-01-30 21:13:03"
"576269","4817","2025-01-30 19:54:53","3","30","0","0","2025-01-30 21:13:02"
"576268","5262","2025-01-30 19:54:48","3","30","0","0","2025-01-30 21:13:01"
"576267","4901","2025-01-30 19:54:31","3","30","0","0","2025-01-30 21:13:01"
"576266","5102","2025-01-30 19:53:55","3","30","0","0","2025-01-30 21:13:00"
"576265","5187","2025-01-30 19:53:50","3","30","0","0","2025-01-30 21:12:59"
"576264","5255","2025-01-30 19:52:49","3","30","0","0","2025-01-30 21:12:58"
"576263","5268","2025-01-30 19:52:44","3","30","0","0","2025-01-30 21:12:56"
"576262","5204","2025-01-30 19:52:25","3","30","0","0","2025-01-30 21:12:55"
"576261","5040","2025-01-30 19:52:21","3","30","0","0","2025-01-30 21:12:54"
"576260","4706","2025-01-30 19:52:14","3","30","0","0","2025-01-30 21:12:53"
"576259","4589","2025-01-30 19:52:01","3","30","0","0","2025-01-30 21:12:52"
"576258","4849","2025-01-30 19:51:54","3","30","0","0","2025-01-30 21:12:51"
"576257","4568","2025-01-30 19:51:50","3","30","0","0","2025-01-30 21:12:50"
"576256","5225","2025-01-30 19:51:24","3","30","0","0","2025-01-30 21:12:49"
"576255","4831","2025-01-30 19:50:43","3","30","0","0","2025-01-30 21:12:48"
"576254","5112","2025-01-30 19:50:29","3","30","0","0","2025-01-30 21:12:47"
"576253","4865","2025-01-30 19:50:14","3","30","0","0","2025-01-30 21:12:46"
"576252","5156","2025-01-30 19:50:07","3","30","0","0","2025-01-30 21:12:46"
"576251","4613","2025-01-30 19:49:58","3","30","0","0","2025-01-30 21:12:45"
"576250","5021","2025-01-30 19:49:52","3","30","0","0","2025-01-30 21:12:44"
"576249","4931","2025-01-30 19:49:46","3","30","0","0","2025-01-30 21:12:43"
"576248","4856","2025-01-30 19:49:41","3","30","0","0","2025-01-30 21:12:43"
"576247","4781","2025-01-30 19:49:33","3","30","0","0","2025-01-30 21:12:42"
"576246","4854","2025-01-30 19:49:29","3","30","0","0","2025-01-30 21:12:41"
"576245","5082","2025-01-30 19:49:25","3","30","0","0","2025-01-30 21:12:40"
"576244","4855","2025-01-30 19:49:16","3","30","0","0","2025-01-30 21:12:40"
"576243","4920","2025-01-30 19:49:11","3","30","0","0","2025-01-30 21:12:39"
"576242","4925","2025-01-30 19:49:02","3","30","0","0","2025-01-30 21:12:38"
"576241","4921","2025-01-30 19:48:57","3","30","0","0","2025-01-30 21:12:37"
"576240","5218","2025-01-30 19:48:47","3","30","0","0","2025-01-30 21:12:36"
"576239","5216","2025-01-30 19:48:44","3","30","0","0","2025-01-30 21:12:36"
"576238","5221","2025-01-30 19:48:40","3","30","0","0","2025-01-30 21:12:35"
"576237","5222","2025-01-30 19:48:31","3","30","0","0","2025-01-30 21:12:34"
"576236","4597","2025-01-30 19:46:27","3","30","0","0","2025-01-30 21:12:33"
"576235","4884","2025-01-30 19:46:22","3","30","0","0","2025-01-30 21:12:33"
"576234","4598","2025-01-30 19:46:17","3","30","0","0","2025-01-30 21:12:32"
"576233","4721","2025-01-30 19:46:15","3","30","0","0","2025-01-30 21:12:31"
"576232","4728","2025-01-30 19:46:06","3","30","0","0","2025-01-30 21:12:30"
"576231","4451","2025-01-30 19:46:00","3","30","0","0","2025-01-30 21:12:30"
"576230","5224","2025-01-30 19:45:06","3","30","0","0","2025-01-30 21:12:28"
"576229","5120","2025-01-30 19:44:20","3","30","0","0","2025-01-30 21:12:27"
"576228","5006","2025-01-30 19:44:16","3","30","0","0","2025-01-30 21:12:27"
"576227","4677","2025-01-30 19:43:55","3","30","0","0","2025-01-30 21:12:26"
"576226","5210","2025-01-30 19:43:51","3","30","0","0","2025-01-30 21:12:25"
"576225","4742","2025-01-30 19:43:45","3","30","0","0","2025-01-30 21:12:24"
"576224","4508","2025-01-30 19:43:30","3","30","0","0","2025-01-30 21:12:24"
